iter	Passed	Remaining
399	56644	84966
400	57014	85165
401	57366	85335
402	57572	85287
403	57731	85168
404	57846	84985
405	57959	84797
406	58079	84622
407	58195	84440
408	58324	84278
409	58447	84107
410	58612	83996
411	58727	83815
412	58842	83632
413	58957	83451
414	59095	83303
415	59225	83143
416	59349	82975
417	59475	82810
418	59595	82636
419	59761	82527
420	59894	82373
421	60039	82234
422	60206	82125
423	60351	81987
424	60475	81820
425	60605	81661
426	60758	81532
427	60889	81375
428	61027	81227
429	61183	81104
430	61317	80950
431	61496	80856
432	61624	80695
433	61770	80557
434	61912	80414
435	62071	80293
436	62186	80116
437	62308	79948
438	62441	79794
439	62595	79666
440	62722	79505
441	62862	79360
442	62998	79209
443	63114	79035
444	63259	78896
445	63406	78760
446	63533	78599
447	63675	78457
448	63809	78305
449	63964	78178
450	64098	78026
451	64237	77880
452	64394	77756
453	64523	77598
454	64658	77448
455	64788	77291
456	64920	77137
457	65064	76998
458	65210	76860
459	65342	76706
460	65480	76559
461	65621	76416
462	65765	76276
463	65897	76122
464	66023	75962
465	66156	75810
466	66294	75664
467	66422	75506
468	66543	75340
469	66672	75184
470	66836	75067
471	66953	74896
472	67086	74745
473	67218	74593
474	67375	74467
475	67521	74330
476	67638	74161
477	67784	74024
478	67912	73867
479	68055	73726
480	68191	73578
481	68334	73438
482	68466	73286
483	68581	73115
484	68729	72980
485	68861	72829
486	68998	72681
487	69131	72531
488	69251	72367
489	69378	72210
490	69503	72051
491	69651	71916
492	69774	71755
493	69884	71581
494	69993	71407
495	70128	71259
496	70289	71137
497	70403	70969
498	70535	70818
499	70671	70671
500	70798	70515
501	70925	70360
502	71064	70216
503	71229	70098
504	71363	69950
505	71475	69780
506	71601	69624
507	71716	69457
508	71829	69289
509	71934	69113
510	72060	68957
511	72178	68795
512	72275	68612
513	72399	68455
514	72511	68287
515	72625	68121
516	72746	67962
517	72860	67796
518	72977	67634
519	73065	67444
520	73180	67281
521	73329	67148
522	73432	66973
523	73537	66801
524	73654	66640
525	73770	66477
526	73884	66313
527	73996	66148
528	74127	66000
529	74247	65842
530	74361	65679
531	74480	65520
532	74605	65366
533	74719	65204
534	74833	65042
535	74940	64873
536	75060	64717
537	75172	64553
538	75288	64393
539	75423	64249
540	75550	64098
541	75693	63962
542	75847	63834
543	75976	63686
